abadfe01,2010,Fernando Antonio,L,27,2,51
abbotji01,1989,James Anthony,L,888,11,263
abbotky01,1991,Lawrence Kyle,L,124,4,57
aberal01,1950,Albert Julius,L,169,8,168
abernte01,1942,Talmadge Lafayette,L,13,3,7
abernwo01,1946,Virgil Woodrow,L,6,2,16
ablesha01,1905,Harry Terrell,L,41,3,14
adamsjo01,1902,Joseph Edward,L,0,1,1
adamsjo02,1996,Joel Lee,L,77,3,44
adamsri01,1905,Reuben Alexander,L,25,1,11
adkinst01,1990,Steven Thomas,L,14,1,5
affelje01,2002,Jeremy David,L,580,11,554
agostju01,1981,Juan Roberto (Gonzalez),L,307,15,543
aguirha01,1955,Henry John,L,856,16,447
aitchra01,1911,Raleigh Leonidas,L,101,3,34
albagi01,1988,Gibson Alberto (Rosado),L,3,1,3
alburvi01,1973,Victor,L,193,4,101
aldremi01,1996,Michael Peter,L,0,1,1
aldresc01,1990,Scott Phillip,L,312,12,229
allenbo04,1961,Robert Gray,L,199,5,204
allenfr01,1912,Frank Leon,L,457,7,180
allisda01,1991,Dana Eric,L,4,1,11
almanar01,1999,Armando,L,232,7,254
alouma01,1965,Mateo Rojas,L,3,1,1
altener01,1920,Ernest Matthias,L,4,1,14
altroni01,1898,Nicholas,L,425,18,218
alvarab01,2004,Abraham,L,5,3,4
alvarju01,1999,,L,42,4,80
alvarvi01,2002,Victor Aurelio,L,10,2,9
alvarwi01,1989,Wilson Eduardo (Fuenmayor),L,1330,15,355
amoledo01,1897,Morris George,L,30,2,18
anderal02,1986,Allan Lee,L,339,6,148
anderbi01,1925,William Edward,L,1,1,2
anderbr02,1993,Brian James,L,723,14,291
anderbr04,2009,Brett F.,L,286,3,62
anderda01,1889,David S.,L,56,3,21
anderji02,1999,,L,241,7,122
anderwa01,1917,Walter Carl,L,20,2,17
anderwi01,1910,Wingo Charlie,L,11,1,7
andrecl01,2000,,L,12,1,8
andrejo02,1973,John Richard,L,5,1,16
angelno01,1972,Norman Stanley,L,19,2,28
ankieri01,1999,,L,269,4,51
antonjo02,1948,John August,L,1162,13,377
archefr01,1936,Frederick Marvin,L,11,2,7
archeji02,1961,James William,L,122,2,57
ariasru01,1959,Rodolfo (Martinez),L,28,1,34
arlicdo01,1965,Donald Louis,L,1,2,8
arrigge01,1961,Gerald William,L,433,11,194
arroylu01,1955,Luis Enrique,L,336,8,244
arroyru01,1971,Rudolph,L,5,1,9
assenpa01,1986,Paul Andre,L,807,16,884
atchlju01,2001,,L,8,1,15
atkinto01,1909,Francis Montgomery,L,33,2,16
augusje01,1975,Gerald Lee,L,348,10,279
austiri01,1970,Rick Gerald,L,106,4,89
averyst01,1990,Steven Thomas,L,980,11,297
bacsimi02,2001,,L,97,5,51
baczefr01,1953,Frederic John,L,104,4,63
baezbe01,2001,,L,14,1,8
bailebi01,1907,William F.,L,570,12,203
baileha01,1899,Harvey Francis,L,35,2,16
baileho01,1981,Howard L,L,41,3,50
baileji01,1959,James Hopkins,L,7,1,3
baileki01,1895,Linwood C.,L,0,1,1
bailesc01,1986,Scott Alan,L,351,9,343
bairdbo01,1962,Robert Allen,L,10,2,8
bakerbo01,1901,Charles,L,1,2,2
bakerje01,1911,Jesse Ormond,L,51,1,22
bakersc01,1995,Scott,L,3,1,1
bakerto02,1963,Thomas Henry,L,14,1,10
baldwla01,1884,Charles B.,L,582,7,118
balejo01,1999,,L,148,7,109
ballaje01,1987,Jeffrey Scott,L,244,7,197
baneed01,1973,Edward Norman,L,80,3,44
bannifl01,1977,Floyd Franklin,L,1723,15,431
barbest01,1960,Stephen David,L,1309,18,466
barfijo01,1989,John David,L,53,3,65
barkbr01,1995,Brian Stuart,L,0,1,3
barklbr01,1998,,L,2,1,6
barnach01,1927,Charles Edward,L,8,2,24
barnebo01,1924,Robert Avery,L,1,1,2
barnebr01,1990,Brian Keith,L,275,6,116
barnefr01,1929,Frank Samuel,L,2,2,6
barneju01,1934,Junie Shoaf,L,0,1,2
barneri01,1982,Richard Monroe,L,8,2,10
barrofr02,1914,Frank John,L,1,1,1
barrst01,1974,Steven Charles,L,32,3,24
barryed01,1905,Edward,L,34,3,12
barthle01,1928,Lester Justin,L,7,2,9
bartocl01,2004,Clifford Paul,L,40,2,53
bartosh01,1992,Shawn Edward,L,29,3,73
barziph01,2006,Philip Joseph,L,0,1,1
bastaan01,2009,Antonio Francisco (Rafael),L,115,3,95
batchjo01,1923,Joseph Edmund,L,6,3,11
baueral01,1884,Albert,L,26,2,7
baumafr01,1955,Frank Matt,L,384,11,244
baumgro01,1978,Ross,L,222,5,90
baumgst01,1914,Stanwood Fulton,L,129,8,143
baynebi01,1919,William Lear,L,259,9,199
beardge01,1947,Henry Eugene,L,259,9,193
beardmi01,1974,Michael Richard,L,43,4,74
bearske01,1990,Kevin Gerard,L,2,1,3
beatied01,1887,Ebenezer Ambrose,L,335,5,109
beattbl01,1989,Gordon Blaine,L,10,2,7
beckebo01,1897,Robert Charles,L,10,2,6
beckech01,1911,Charles Schlagel,L,36,2,15
beckero01,1996,Robert Joseph,L,8,2,7
becklja01,1902,Jacob Peter,L,2,1,1
becquju01,1960,Julio (Villegas),L,0,2,2
bedarer01,2002,Erik Joseph,L,926,9,168
beeched01,1890,Edward Harry,L,0,1,1
beechma01,1996,Lucas Matthew,L,266,3,53
behneme01,1970,Melvin Brian,L,2,1,5
beimejo01,2001,Joseph Ronald,L,332,12,567
belinbo01,1962,Robert,L,476,8,146
belitto01,2000,,L,8,2,13
beller01,1985,Eric Alvin,L,152,6,68
bellra01,1912,Ralph Albert,L,5,1,3
belowdu01,2011,Duane Arthur,L,14,1,14
beltrri01,1997,Rigoberto,L,106,6,78
bennede01,1962,Dennis John,L,572,8,182
bentlja01,1913,John Needles,L,259,10,138
bentoru01,1910,John Cleave,L,950,16,437
bentzch01,2004,Chad Robert,L,18,2,40
bergmdu01,2004,Dustin Michael,L,1,1,1
bertafr01,1964,Frank Louis,L,280,9,99
bertomi01,1995,Michael David,L,38,3,28
bertrle01,1936,Roman Mathias,L,1,1,1
besanfr01,1956,Frederick Cyril,L,7,1,7
bessehe01,1940,Herman A.,L,118,5,65
bierbni01,2001,,L,112,5,38
biittla01,1977,Lawrence David,L,3,1,1
bildiem01,1937,Emil,L,55,5,41
billibr01,1999,,L,3,1,8
birdre01,1921,James Edward,L,2,1,1
birkiku01,2006,Kurt Daniel,L,64,3,60
birkora01,1933,Ralph Joseph,L,224,5,132
birtsti01,1985,Timothy Dean,L,231,5,138
biscafr01,1942,Frank Stephen,L,64,3,74
bishobi02,1921,William Henry,L,4,1,2
blackbu02,1981,Harry Ralston,L,1039,17,398
blacktr01,2004,Travis Jarrod,L,21,2,8
blairbi01,1888,William Ellsworth,L,16,1,4
blancgi01,1965,Gilbert Henry,L,35,2,28
blandna01,2003,Nathan Garrett,L,18,1,22
blankfr01,1894,Frederick August,L,1,1,1
blankma01,2000,,L,15,2,18
blasiwa01,1963,Wade Allen,L,512,12,222
blemkra01,1960,Raymond,L,0,1,1
blevije01,2007,Jerry Richard,L,133,5,151
blewebo01,1902,Robert Lawrence,L,8,1,5
blockte01,1989,Terry Fennell,L,0,1,1
bluevi01,1969,Vida Rochelle (Jr.),L,2175,17,502
boardch01,1913,Charles Louis,L,13,3,7
boehljo01,1912,John Joseph,L,396,8,162
boggsra01,1928,Raymond Joseph,L,0,1,4
boglewa01,1968,Warren Frederick,L,26,1,16
bohanbr01,1990,Brian Edward,L,671,13,304
bohnejo01,1982,John Kelly,L,4,1,3
bolenst01,1926,"Stewart O'Neal",L,72,4,41
boltoto01,1987,Thomas Edward,L,336,9,209
bongju01,2002,Jung Keun,L,62,3,48
bonnebi01,1944,William John,L,1,1,2
boolere01,1909,Seabron Jesse,L,6,1,4
booneda02,1981,Daniel Hugh,L,57,4,61
borbope02,1992,Pedro Felix (Marte),L,224,10,368
bordlbi01,1980,William Clarke,L,11,1,8
borkfr01,1964,Frank Bernard,L,31,1,33
borlato01,1960,Thomas Bruce,L,32,2,27
bottira01,1979,Ralph Wayne,L,34,2,18
bouchde01,1991,Denis,L,77,5,35
bowerce01,2008,Cedrick Jerome,L,23,2,19
bowiemi01,1999,,L,111,7,88
bowmaro01,1949,Roger Clinton,L,75,5,50
bowmasu01,1890,Sumner Sallade,L,46,3,18
bowsfte01,1958,Edward Oliver,L,326,8,215
boydja01,1894,Jacob Henry,L,25,3,21
braddza01,2010,William Zachary,L,59,2,71
bradeda01,2007,Dallas Lee,L,305,5,94
bradfla01,1977,Larry,L,58,4,104
bradyji01,1956,James Joseph,L,3,1,6
braital01,1915,Alfred,L,2,1,2
brancha01,1962,Harvey Alfred,L,2,1,1
branded01,1928,Edward Arthur,L,877,11,378
braxtga01,1921,Edgar Garland,L,412,12,282
braybi01,2006,William Paul,L,181,6,244
brazlal01,1943,Alpha Eugene,L,554,10,441
brechha01,1940,Harry David,L,901,12,318
breitte01,1891,Theodore P.,L,889,11,379
brennad01,1910,Addison Foster,L,283,8,129
breslcr01,2005,Craig Andrew,L,235,8,295
bressru01,1914,Raymond Bloom,L,229,7,107
brettke01,1967,Kenneth Alven,L,807,17,349
brewebi01,1993,William Robert,L,137,8,203
breweji01,1960,James Thomas,L,810,18,584
brewero01,1993,Rodney Lee,L,1,1,1
bridgma01,1959,Marshall,L,302,8,206
brillji01,1922,James Benson,L,98,4,86
brisslo01,1947,Leland Victor,L,436,8,234
britoeu01,2005,Eude Ezequiel,L,24,2,11
brittza01,2011,Zachary Grant,L,97,1,28
brohatr01,2001,Michael Troy,L,46,3,82
brookfr01,2004,Frank J.,L,18,2,12
brothre01,2011,Rex Coleman,L,59,1,48
broutda01,1879,Dennis Joseph,L,8,2,4
brownca01,1960,Calvin Duane,L,0,1,1
brownch01,1897,Charles Edward,L,8,1,4
browncu01,1911,Charles Roy,L,52,4,28
brownke03,1990,Kevin Dewayne,L,44,4,24
brownll01,1925,Lloyd Andrew,L,510,13,404
brownst01,1893,Richard P.,L,10,3,13
brownto05,1984,Thomas Leo,L,1000,12,302
brunege01,1956,George Stuart,L,921,19,324
bruneja01,1949,Jack Raymond,L,28,3,26
bruneju01,2000,,L,2,1,4
brunswi01,1998,,L,11,3,27
bryanro01,1967,Ronald Raymond,L,509,8,205
buchabo01,1985,Robert Gordon,L,6,2,16
buckega01,1918,Garland Maiers,L,134,6,108
bucklje01,1916,Jesse Robert,L,2,1,2
buehrma01,2000,Mark Alan,L,1396,12,390
buenofr01,2008,Francisley Trueba,L,1,1,1
bullore01,1936,Malton Joseph,L,7,1,12
bumgama01,2009,Madison K.,L,287,3,55
burchfr01,1903,Frederick Duff,L,124,4,49
burgmto01,1968,Thomas Henry,L,584,17,745
burgoen01,1993,Enrique (Calles),L,18,2,10
burkebi02,1910,William Ignatius,L,23,2,21
burkebo01,1927,Robert James,L,299,10,254
burkeje01,1890,Jesse Cail,L,84,3,23
burnese01,2004,Sean Richard,L,210,6,284
burnsbi01,1908,William Thomas,L,233,8,117
burnsbr01,1978,Robert Britt,L,734,8,193
burnsdi01,1883,Richard Simon,L,199,3,58
burnspe01,1955,Peter Willits,L,303,9,196
burnssh01,1978,Sheldon John,L,18,3,19
burpoge01,1946,George Harvie,L,1,1,2
