aardsda01,2004,David Allan,R,268,6,254
aasedo01,1977,Donald William,R,641,13,448
abbeybe01,1892,Bert Wood,R,161,6,79
abbotda01,1890,Leander Franklin,R,1,1,3
abbotgl01,1973,William Glenn,R,484,12,248
abbotpa01,1990,Paul David,R,496,12,162
abernbi01,1952,William Edward,R,0,1,1
abernte02,1955,Theodore Wade,R,765,17,681
abramge01,1923,George Allen,R,1,1,3
abregjo01,1985,Johnny Ray,R,13,1,6
abreuju01,2011,Juan De Dios,R,12,1,7
abreuwi01,2006,Winston Leonardo,R,38,4,38
accarje01,2005,Jeremy,R,176,8,235
aceveal01,2008,Alfredo,R,167,4,114
acevejo01,2001,,R,253,5,104
aceveju01,1995,Juan Carlos,R,350,10,366
ackerji01,1983,James Justin,R,482,12,467
ackerto01,1956,Thomas James,R,256,4,153
acklefr01,1963,Florian Frederick,R,17,2,5
acostcy01,1972,Cecilio (Miranda),R,109,4,107
acosted01,1970,Eduardo Elixbet,R,70,3,57
acostjo01,1920,Jose,R,45,3,55
acostma01,2007,Manuel Alcides (Molina),R,173,5,188
acrema01,1994,Mark Robert,R,98,4,114
adamsac01,1941,Ace Townsend,R,171,6,302
adamsba01,1906,Charles Benjamin,R,1036,19,482
adamsbo01,1925,Robert Burdette,R,1,1,2
adamsbo02,1931,Robert Andrew,R,5,2,5
adamsda01,1914,Daniel Leslie,R,54,2,47
adamska01,1914,Karl Tutwiler,R,62,2,30
adamsmi01,1967,John Michael,R,14,3,11
adamsmi03,2004,Jon Michael,R,320,8,297
adamsre01,1946,Charles Dwight,R,8,1,8
adamste01,1995,Terry Wayne,R,691,12,574
adamswi01,1912,James Irvin,R,74,5,65
adamswi02,1996,William Edward,R,105,2,25
adcocna01,2011,Nathan Masler,R,36,1,24
adenhni01,2008,Nicholas James,R,9,2,4
adkinde01,1942,John Dewey,R,47,3,38
adkindo01,1902,Merle Theron,R,3,2,6
adkingr01,1928,Grady Emmett,R,78,2,67
adkinjo01,2003,Jonathan Scott,R,81,6,119
aguilri01,1985,Richard Warren,R,1030,19,732
ahearpa01,1995,Patrick Howard,R,4,1,4
ainsmed01,1913,Edward Wilbur,R,0,1,1
ainswku01,2001,,R,90,5,29
