aardsda01,2004,David Allan,R,268,6
aasedo01,1977,Donald William,R,641,13
abadfe01,2010,Fernando Antonio,L,27,2
abbeybe01,1892,Bert Wood,R,161,6
abbeych01,1896,Charles S.,,0,1
abbotda01,1890,Leander Franklin,R,1,1
abbotgl01,1973,William Glenn,R,484,12
abbotji01,1989,James Anthony,L,888,11
abbotky01,1991,Lawrence Kyle,L,124,4
abbotpa01,1990,Paul David,R,496,12
aberal01,1950,Albert Julius,L,169,8
abernbi01,1952,William Edward,R,0,1
abernte01,1942,Talmadge Lafayette,L,13,3
abernte02,1955,Theodore Wade,R,765,17
abernwo01,1946,Virgil Woodrow,L,6,2
ablesha01,1905,Harry Terrell,L,41,3
abramge01,1923,George Allen,R,1,1
abregjo01,1985,Johnny Ray,R,13,1
abreuju01,2011,Juan De Dios,R,12,1
abreuwi01,2006,Winston Leonardo,R,38,4
accarje01,2005,Jeremy,R,176,8
aceveal01,2008,Alfredo,R,167,4
acevejo01,2001,,R,253,5
aceveju01,1995,Juan Carlos,R,350,10
ackerji01,1983,James Justin,R,482,12
ackerto01,1956,Thomas James,R,256,4
acklefr01,1963,Florian Frederick,R,17,2
acostcy01,1972,Cecilio (Miranda),R,109,4
acosted01,1970,Eduardo Elixbet,R,70,3
acostjo01,1920,Jose,R,45,3
acostma01,2007,Manuel Alcides (Molina),R,173,5
acrema01,1994,Mark Robert,R,98,4
adamsac01,1941,Ace Townsend,R,171,6
adamsba01,1906,Charles Benjamin,R,1036,19
adamsbo01,1925,Robert Burdette,R,1,1
adamsbo02,1931,Robert Andrew,R,5,2
adamsda01,1914,Daniel Leslie,R,54,2
adamsjo01,1902,Joseph Edward,L,0,1
adamsjo02,1996,Joel Lee,L,77,3
adamska01,1914,Karl Tutwiler,R,62,2
adamsmi01,1967,John Michael,R,14,3
adamsmi03,2004,Jon Michael,R,320,8
adamsre01,1946,Charles Dwight,R,8,1
adamsri01,1905,Reuben Alexander,L,25,1
adamste01,1995,Terry Wayne,R,691,12
adamswi01,1912,James Irvin,R,74,5
adamswi02,1996,William Edward,R,105,2
adcocna01,2011,Nathan Masler,R,36,1
adenhni01,2008,Nicholas James,R,9,2
adkinde01,1942,John Dewey,R,47,3
adkindo01,1902,Merle Theron,R,3,2
adkingr01,1928,Grady Emmett,R,78,2
adkinjo01,2003,Jonathan Scott,R,81,6
adkinst01,1990,Steven Thomas,L,14,1
affelje01,2002,Jeremy David,L,580,11
agostju01,1981,Juan Roberto (Gonzalez),L,307,15
aguilri01,1985,Richard Warren,R,1030,19
aguirha01,1955,Henry John,L,856,16
ahearpa01,1995,Patrick Howard,R,4,1
ainsmed01,1913,Edward Wilbur,R,0,1
ainswku01,2001,,R,90,5
aitchra01,1911,Raleigh Leonidas,L,101,3
akerfda01,1986,Darrel Wayne,R,129,5
akerja01,1964,Jackie Delane,R,404,14
akersje01,1912,Albert Earl,R,11,1
albagi01,1988,Gibson Alberto (Rosado),L,3,1
albaljo01,2007,Jonathan  (Santana),R,54,4
albanjo01,1958,Joseph Peter,R,3,1
albercy01,1910,Frederick Joseph,R,10,1
alberjo01,1995,Jose Edgardo,R,23,3
alberma01,2006,Matthew James,R,274,6
albosed01,1941,Edward John,R,24,2
albreed01,1949,Edward Arthur,R,2,2
albural01,2011,Alberto Jose,R,67,1
alburvi01,1973,Victor,L,193,4
alcalsa01,1976,Santo,R,140,3
alderda01,1943,Dale Leonard,R,11,2
aldremi01,1996,Michael Peter,L,0,1
aldresc01,1990,Scott Phillip,L,312,12
aldrija01,1987,Jay Robert,R,46,4
aldrivi01,1917,Victor E.,R,526,9
alexabo01,1955,Robert Somerville,R,2,2
alexado01,1971,Doyle Lafayette,R,1528,23
alexage01,1990,Gerald Paul,R,59,3
alexama02,1996,Manuel De Jesus,R,0,1
alexape01,1911,Grover Cleveland,R,2198,21
alfonan01,1997,Antonio,R,400,11
allarbr01,1979,Brian Marshall,R,44,3
allenbo03,1937,Robert Earl,R,8,1
allenbo04,1961,Robert Gray,L,199,5
allenfr01,1912,Frank Leon,L,457,7
allenjo01,1914,John Marshall,R,2,1
allenjo02,1932,John Thomas,R,1070,15
allenll01,1969,Lloyd Cecil,R,194,9
allenmy01,1883,Myron Smith,R,3,3
allenne01,1979,Neil Patrick,R,611,14
allisda01,1991,Dana Eric,L,4,1
allisdo01,1878,Douglas L.,R,0,1
allisma01,1911,Mack Pendleton,R,57,3
almanar01,1999,Armando,L,232,7
almanca01,1997,Carlos Manuel (Giron),R,170,8
almoned01,2003,Edwin,R,7,1
almonhe01,1999,,R,40,3
alomalu01,1950,Luis (Barba),R,115,4
alouma01,1965,Mateo Rojas,L,3,1
alstoga01,1996,Garvin James,R,5,1
altampo01,1982,Porfirio (Ramirez),R,57,3
altener01,1920,Ernest Matthias,L,4,1
altroni01,1898,Nicholas,L,425,18
alvarab01,2004,Abraham,L,5,3
alvarhe01,2011,Henderson Javier,R,40,1
alvarjo01,1981,Jose Lino,R,134,4
alvarju01,1999,,L,42,4
alvarta01,1995,Cesar Octavio,R,26,2
alvarvi01,2002,Victor Aurelio,L,10,2
alvarwi01,1989,Wilson Eduardo (Fuenmayor),L,1330,15
ambrihe01,2010,Hector,R,37,1
amesre01,1903,Leon Kessling,R,1702,20
amoledo01,1897,Morris George,L,30,2
amorvi01,1955,Vincente (Alvarez),R,12,2
anckewa01,1915,Walter,R,4,1
anderal02,1986,Allan Lee,L,339,6
anderbi01,1925,William Edward,L,1,1
anderbo01,1957,Robert Carl,R,502,7
anderbr02,1993,Brian James,L,723,14
anderbr04,2009,Brett F.,L,286,3
anderbu01,1982,Karl Adam,R,76,2
andercr01,1961,Norman Craig,R,94,4
anderda01,1889,David S.,L,56,3
anderfr01,1909,John Frederick,R,514,7
anderja01,2003,Jason Roger,R,19,4
anderji02,1999,,L,241,7
anderjo02,1958,John Charles,R,19,4
anderla01,1974,Lawrence Dennis,R,23,3
anderla02,1975,Larry Eugene,R,758,19
anderma01,1998,Matthew Jason,R,224,7
andermi01,1979,Michael Allen,R,2,1
andermi02,1993,Michael James,R,4,1
anderre01,1937,Arnold Revola,R,40,3
anderri01,1979,Richard Lee,R,7,2
anderri02,1986,Richard Arlen,R,42,3
andersc01,1987,Scott Richard,R,28,3
anderva01,1889,Varney Samuel,R,41,4
anderwa01,1917,Walter Carl,L,20,2
anderwi01,1910,Wingo Charlie,L,11,1
andrast01,2006,Stephen Michael,R,5,1
andrecl01,2000,,L,12,1
andreel01,1925,Elbert De Vore,R,0,1
andrehu01,1947,Herbert Carl,R,2,2
andreiv01,1931,Ivy Paul,R,257,10
andrejo01,1955,John Edward,R,19,1
andrejo02,1973,John Richard,L,5,1
andrena01,1937,Nathan Hardy,R,216,9
andrufr01,1884,Frederick Hotham,R,2,1
andujjo01,1976,Joaquin,R,1032,14
andujlu01,1995,Luis (Sanchez),R,49,5
angelno01,1972,Norman Stanley,L,19,2
ankieri01,1999,,L,269,4
ansonca01,1883,Adrian Constantine,R,1,2
antonjo02,1948,John August,L,1162,13
apodabo01,1973,Robert John,R,197,5
apontlu01,1980,Luis Eduardo (Yuripe),R,113,5
appieke01,1989,Robert Kevin,R,1994,18
appleed01,1915,Edward Samuel,R,64,2
applefr01,1904,Frederick Romaine,R,12,1
